X                  Y                  Z
        15009.0000              .0000     494553581.8393
        15009.0000              .0000     495834808.7352
        15009.0000              .0000     497116035.6312
        15009.0000              .0000     498397262.5271
        15009.0000              .0000     499678489.4231
        15009.0000              .0000     500959716.3191
        15009.0000              .0000     502240943.2150
        15009.0000              .0000     503522170.1110
        15009.0000              .0000     504803397.0069
        15009.0000              .0000     506084623.9029
        15009.0000              .0000     507365850.7988
        15009.0000              .0000     508647077.6948
        15009.0000              .0000     509928304.5908
        15009.0000              .0000     511209531.4867
        15009.0000              .0000     512490758.3827
        15009.0000              .0000     513771985.2786
        15009.0000              .0000     515053212.1746
        15009.0000              .0000     516334439.0705
        15009.0000              .0000     517615665.9665
        15009.0000              .0000     518896892.8625
        15009.0000              .0000     520178119.7584
        15009.0000              .0000     521459346.6544
        15009.0000              .0000     522740573.5503
        15009.0000              .0000     524021800.4463
        15009.0000              .0000     525303027.3422
        15009.0000              .0000     526584254.2382
        15009.0000              .0000     527865481.1342
        15009.0000              .0000     529146708.0301
        15009.0000              .0000     530427934.9261
        15009.0000              .0000     531709161.8220
        15009.0000              .0000     532990388.7180
        15009.0000              .0000     534271615.6139
        15009.0000              .0000     535552842.5099
        15009.0000              .0000     536834069.4058
        15009.0000              .0000     538115296.3018
        15009.0000              .0000     539396523.1978
        15009.0000              .0000     540677750.0937
        15009.0000              .0000     541958976.9897
        15009.0000              .0000     543240203.8856
        15009.0000              .0000     544521430.7816
        15009.0000              .0000     545802657.6775
        15009.0000              .0000     547083884.5735
        15009.0000              .0000     548365111.4695
        15009.0000              .0000     549646338.3654
        15009.0000              .0000     550927565.2614
        15009.0000              .0000     552208792.1573
        15009.0000              .0000     553490019.0533
        15009.0000              .0000     554771245.9492
        15009.0000              .0000     556052472.8452
        15009.0000              .0000     557333699.7412
        15009.0000              .0000     558614926.6371
        15009.0000              .0000     559896153.5331
        15009.0000              .0000     561177380.4290
        15009.0000              .0000     562458607.3250
        15009.0000              .0000     563739834.2209
        15009.0000              .0000     565021061.1169
        15009.0000              .0000     566302288.0129
        15009.0000              .0000     567583514.9088
        15009.0000              .0000     568864741.8048
        15009.0000              .0000     570145968.7007
        15009.0000              .0000     571427195.5967
        15009.0000              .0000     572708422.4926
        15009.0000              .0000     573989649.3886
        15009.0000              .0000     575270876.2846
        15009.0000              .0000     576552103.1805
        15009.0000              .0000     577833330.0765
        15009.0000              .0000     579114556.9724
        15009.0000              .0000     580395783.8684
        15009.0000              .0000     581677010.7643
        15009.0000              .0000     582958237.6603
        15009.0000              .0000     584239464.5562
        15009.0000              .0000     585520691.4522
        15009.0000              .0000     586801918.3482
        15009.0000              .0000     588083145.2441
        15009.0000              .0000     589364372.1401
        15009.0000              .0000     590645599.0360
        15009.0000              .0000     591926825.9320
        15009.0000              .0000     593208052.8279
        15009.0000              .0000     594489279.7239
        15009.0000              .0000     595770506.6199
        15009.0000              .0000     597051733.5158
        15009.0000              .0000     598332960.4118
